2026-09-16 18:50:29 | INFO     | __main__ | Enter The Code Block
2026-09-16 18:50:42 | INFO     | __main__ | Enter The Code Block
2026-09-17 21:59:37 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:00:07 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:00:32 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:01:02 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:03:21 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:03:52 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:07:46 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:08:16 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:11:09 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:11:40 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:14:09 | INFO     | __main__ | Connected To DataBase
2026-09-17 22:14:09 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:14:40 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:15:21 | INFO     | __main__ | Connected To DataBase
2026-09-17 22:15:21 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:15:51 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:21:27 | INFO     | __main__ | Connected To DataBase
2026-09-17 22:21:27 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:21:57 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:35:24 | INFO     | __main__ | Connected To DataBase
2026-09-17 22:35:24 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:35:54 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:38:45 | INFO     | __main__ | Connected To DataBase
2026-09-17 22:38:45 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:39:15 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:39:50 | INFO     | __main__ | Connected To DataBase
2026-09-17 22:39:50 | INFO     | __main__ | Loading The Data Into Mongo DB
2026-09-17 22:40:21 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:42:39 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-17 22:43:21 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-18 14:40:58 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-18 14:44:40 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
2026-09-18 14:46:36 | ERROR    | __main__ | Cannot Upload The Data Into Mongo Db
